Imagen              Parametro                   Tiempo         OS                       Lote
'bidir'             Accelerator-kdtree          3141          Windows10-Native         1
'buddha-fractal'    Accelerator-kdtree          617          Windows10-Native         1
'smoke'             Integrator-mlt              273          Windows10-Native         1
'smoke'             Accelerator-bvh             964          Windows10-Native         1
'spotfog'           Accelerator-kdtree          739          Windows10-Native         1
'smoke'             Accelerator-kdtree          1089          Windows10-Native         1
'spotfog'           Integrator-path             94          Windows10-Native         1
'spotfog'           Accelerator-bvh             521          Windows10-Native         1
'buddha-fractal'    Integrator-mlt              83          Windows10-Native         1
'bidir'             Accelerator-bvh             2065          Windows10-Native         1
'bidir'             Integrator-mlt              112          Windows10-Native         1
'spotfog'           Integrator-mlt              33          Windows10-Native         1
'buddha-fractal'    Integrator-path             422          Windows10-Native         1
'buddha-fractal'    Accelerator-bvh             405          Windows10-Native         1
'smoke'             Integrator-path             959          Windows10-Native         1
'bidir'             Integrator-path             637          Windows10-Native         1
